"year","1","2","3","4","5","6","7","8","9","10","11","12"
1995,-9.70338983050847,-13.8669421487603,-3.81916666666667,0.7275,9.69834710743802,16.7067226890756,19.2196581196581,17.6100840336134,10.6372881355932,8.2135593220339,-3.28119658119658,-10.8584745762712
1996,-14.282905982906,-11.7589743589744,-5.99075630252101,2.27166666666667,8.52166666666667,16.0215517241379,17.4982905982906,17.4703389830508,13.1225,5.48991596638655,-2.26890756302521,-4.63135593220339
1997,-13.4379310344828,-11.746218487395,-8.24873949579832,1.56833333333333,7.54830508474576,15.995,17.8296610169492,15.8029411764706,12.1158415841584,5.4969387755102,-2.01089108910891,-8.825
1998,-10.9514851485149,-6.95445544554455,-4.04536082474227,4.69736842105263,13.4113043478261,16.0896551724138,18.1669565217391,17.3037735849057,12.9626168224299,6.6188679245283,-0.135185185185185,-6.02393162393162
1999,-12.9452991452991,-8.33826086956522,-3.28245614035088,3.4034188034188,13.1101694915254,17.5025862068966,19.2952380952381,17.1176470588235,15.3145631067961,4.95288461538462,1.67326732673267,-6.06274509803922
2000,-13.1660377358491,-10.2283018867925,-1.45576923076923,2.12017543859649,9.7359649122807,14.178640776699,17.3144230769231,17.2448598130841,11.625,6.27570093457944,0.669158878504673,-11.0574074074074
2001,-12.2703703703704,-11.9,-5.59406779661017,2.91166666666667,12.3308333333333,16.6093220338983,17.2696428571429,18.6119658119658,13.58,7.51416666666667,1.74201680672269,-3.3099173553719
2002,-9.31271186440678,-9.71111111111111,-5.92222222222222,3.16792452830189,8.50925925925926,14.2457943925234,18.7194444444444,18.3638888888889,14.6256880733945,4.475,-2.24036697247706,-7.79375
2003,-15.2836363636364,-14.4383177570093,-7.03211009174312,0.486111111111111,10.0490740740741,15.8207547169811,18.1495145631068,18.2224299065421,14.7138888888889,5.85700934579439,0.28348623853211,-7.26126126126126
2004,-17.1591304347826,-10.7791304347826,-4.18793103448276,2.43114754098361,9.47586206896552,14.0234782608696,18.2848214285714,16.795652173913,13.1365217391304,6.90608695652174,-0.610344827586207,-10.798275862069
2005,-15.0321739130435,-9.68362068965517,-5.88230088495575,4.02586206896552,9.25172413793103,17.5526315789474,19.08125,18.2408695652174,14.2626086956522,7.88508771929825,0.220869565217391,-8.66923076923077
2006,-7.97758620689655,-10.9396551724138,-3.06581196581197,4.55431034482759,11.7104347826087,16.6293103448276,19.3774774774775,16.2089285714286,12.1575221238938,5.89652173913043,2.16782608695652,-4.63913043478261
2007,-11.035652173913,-13.9760683760684,-6.35423728813559,2.52881355932203,10.0991379310345,16.0043859649123,17.5185840707965,16.4637931034483,13.1439655172414,8.48938053097345,-1.56491228070175,-10.1098214285714
2008,-10.0955357142857,-11.4137931034483,-8.17217391304348,4.46576576576577,9.26637168141593,16.1132743362832,18.6696428571429,17.2955752212389,13.1486486486486,6.05840707964602,0.150877192982456,-9.9948275862069
2009,-16.6318965517241,-9.96410256410256,-5.27966101694915,3.98421052631579,8.92782608695652,15.0769911504425,17.1619469026549,17.6465517241379,12.4176991150442,4.43846153846154,2.3104347826087,-7.84830508474576
2010,-8.82203389830508,-6.40840336134454,-0.924576271186441,5.87758620689655,11.6372881355932,14.9529411764706,19.6303571428571,18.0026086956522,13.1196581196581,5.9495652173913,0.259090909090909,-6.2247619047619
2011,-11.840404040404,-11.640404040404,-5.94455445544554,2.11559633027523,9.94403669724771,15.3859813084112,19.0302752293578,17.7009523809524,14.0690909090909,7.48529411764706,2.29504950495049,-6.56222222222222
2012,-11.7464285714286,-9.43370786516854,-1.69462365591398,3.192,11.752380952381,16.3669902912621,18.5958762886598,18.5366336633663,13.0495145631068,7.73762376237624,-1.12666666666667,-6.33723404255319
2013,-12.5036585365854,-10.304347826087,-2.58105263157895,2.07019230769231,10.9211538461538,14.4271028037383,18.9725490196078,16.9653465346535,12.322,7.41485148514851,-1.65052631578947,-12.8258426966292
2014,-13.6055555555556,-12.8255555555556,-11.1894736842105,2.04742268041237,10.5188118811881,16.405,18.2930693069307,17.5239583333333,12.5126213592233,7.9319587628866,-1.89569892473118,-6.92637362637363
2015,-15.8870588235294,-19.2,-8.86818181818182,1.77291666666667,11.486170212766,14.3610526315789,17.8604395604396,18.453488372093,15.241935483871,4.7043956043956,1.17142857142857,-2.26179775280899
2016,-10.0329545454545,-10.6804347826087,-5.42555555555556,-0.408080808080808,10.5791666666667,15.2602150537634,17.9417582417582,18.4629213483146,13.2478873239437,6.93232323232323,1.709,-8.24059405940594
2017,-8.56730769230769,-9.08529411764706,-7.95865384615385,3.803,9.92815533980582,15.370297029703,17.5128712871287,16.3626262626263,14.7079207920792,9.55865384615385,-1.95098039215686,-11.3864077669903
2018,-13.3166666666667,-9.17641509433962,-3.525,-0.0817307692307692,10.087037037037,14.2932692307692,20.0584905660377,18.9826923076923,13.2152380952381,3.75233644859813,-3.69320388349515,-8.89223300970874
2019,-14.113,-12.510101010101,-6.56868686868687,1.42019230769231,7.30181818181818,14.6633663366337,19.3848484848485,17.2663265306122,11.1764705882353,6.79690721649485,-4.10545454545455,-8.80181818181818
